Migration ID,Migration Technique,Workload,Available Network Bandwidth (mbps),Page Dirty Rate (4KB pages per second),VM_SIZE (MB),Page transfer rate (MB/s),Total Migration Time (ms),Downtime (ms),Total Transferred Data (KB)
1463782378,original,mem,919,19037,1081.81640625,150,26130,295,2934185
1463782549,original,parsec,935,3596,2032.52734375,150,21369,302,2440735
1463782631,original,mplayer,817,13283,2025.93359375,150,27271,494,2722277
1463782719,original,mplayer,937,866,2025.90234375,150,18262,164,2089496
1463782798,original,mplayer,824,15169,2026.3125,150,27253,491,2743887
1463783110,auto-converge,mem,917,8030,781.265625,150,9895,285,1108114
1463783182,auto-converge,mem,932,1841,727.46484375,150,7024,265,799486
1463783249,auto-converge,bzip,938,7507,2037.7421875,150,21000,280,2404595
1463783332,auto-converge,bzip,837,4684,2037.8359375,150,25020,294,2557691
1463783497,auto-converge,parsec,937,2663,2033.875,150,20973,293,2399604
1463783579,auto-converge,parsec,842,158,387.29296875,150,4985,228,512696
1463783990,auto-converge,parsec,919,188,392.26953125,150,4657,276,522468
1463784054,auto-converge,mem,897,8015,781.55078125,150,10208,280,1117961
1463784126,auto-converge,mem,919,1734,727.66015625,150,7120,262,799019
1463784194,auto-converge,parsec,913,1729,394.9375,150,5503,283,613787
1463784260,auto-converge,mem,893,17889,1082.19921875,150,29559,274,3222962
1463788339,xbzrle,parsec,882,15233,769.8125,150,9991,135,1076579
1463788411,xbzrle,parsec,876,25119,768.578125,150,9275,43,992144
1463788483,xbzrle,mem,917,12886,1159.35546875,150,19048,316,2132577
1463788637,xbzrle,dacapo,847,3845,330.0078125,150,3598,220,372006
1463788702,xbzrle,mem,914,11357,961.62890625,150,13983,290,1560490
1463788777,xbzrle,dacapo,886,3860,330.03125,150,3427,179,370638
1463788841,xbzrle,parsec,928,18291,782.08203125,150,9200,42,1042896
1463788913,xbzrle,mem,908,12719,1159.41796875,150,19119,298,2119721
1463789231,xbzrle,mem,935,12956,1279.63671875,150,20635,333,2357129
1463789314,xbzrle,dacapo,787,3591,329.6484375,150,4115,221,395311
1463789686,original,parsec,900,2989,2035.3984375,150,22313,256,2453555
1463789770,original,parsec,936,2814,2035.66796875,150,21495,288,2456060
1463789853,original,parsec,888,195,385.98828125,150,5108,281,553854
1463790257,original,dacapo,892,16664,716.90625,150,17418,519,1896825
1463790419,original,mem,936,29383,1117.47265625,150,45467,6682,5197708
1463790526,original,mem,919,1093,772.12890625,150,7389,226,828996
1463790683,original,mem,934,19398,1081.609375,150,29811,296,3401918
1463790861,original,mplayer,863,1305,2028.1484375,150,26103,473,2752191
1463791257,auto-converge,parsec,938,4531,2035.62109375,150,21615,280,2475815
1463791342,auto-converge,parsec,936,11063,2035.3046875,150,22695,273,2595055
1463791427,auto-converge,parsec,869,176,386.296875,150,4846,283,514123
1463791495,auto-converge,dacapo,930,15987,718.61328125,150,14588,383,1656928
1463791841,auto-converge,dacapo,900,17218,719.20703125,150,17323,431,1904114
1463791924,auto-converge,mem,849,31691,467.99609375,150,11997,297,1243292
1463792001,auto-converge,mem,936,27022,1117.76953125,150,45129,302,5159810
1463792108,auto-converge,mem,923,1066,771.51953125,150,7340,221,827424
1463792262,auto-converge,mem,935,19027,1077.625,150,27164,322,3101858
1463792436,auto-converge,mplayer,789,1197,2029.0546875,150,21734,121,2093880
1463792822,xbzrle,parsec,901,3055,2035.81640625,150,22536,141,2480405
1463792906,xbzrle,parsec,936,2817,2036.16796875,150,21307,29,2435434
